Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite,Numero_SIRET,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr,sirene_adresse,sirene_code_postal,Adresse,latitude,longitude,geocode_src,geocode_qualite
053.01825,Coopérative Isigny-Ste-Mère,2019,Eau (indirect),Demande biologique en oxygène (DBO5),80012,kg/an,31775081800021,50480,CHEF-DU-PONT,MANCHE,NORMANDIE,-1.356297,49.380393,1051C,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle),,50480,Rue de la Coopérative,49.380331,-1.354446,API BAN,0.95
055.00107,COOPERL,2019,Eau (indirect),Azote total,79747,kg/an,38398687400014,22403,LAMBALLE,COTES-D'ARMOR,BRETAGNE,239588,2396332,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour,7 RUE DE LA JEANNAIE,22400,ZI Ville es Lan - BP 60328,48.4684404751,-2.49534815954,Base Code Postaux,code postal approché
030.12591,sas methavair,2019,Sol,Azote total,79360,kg/an,82261715500012,88800,MANDRES-SUR-VAIR,VOSGES,GRAND-EST,5.893806,48.239398,3511Z,Production d'électricité,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour,951 RUE REGUENEL,88800,951 rue reguenel,48.238608,5.893444,API BAN,0.72
063.01415,MONDELEZ INTERNATIONAL,2019,Air,Ammoniac (NH3),79263.6,kg/an,43308514900139,44690,LA HAIE-FOUASSIERE,LOIRE-ATLANTIQUE,PAYS-DE-LA-LOIRE,317110,2247615,1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour,RTE DE CLISSON,44690,BP 38  Route de Clisson,47.157211,-1.382122,API BAN,0.83
699.08001,EDF-CNPE de Cattenom,2019,Eau (direct),Azote total,79216,kg/an,55208131715487,57570,CATTENOM,MOSELLE,GRAND-EST,883315,2496975,3511Z,Production d'électricité,NA,NA,,57570,BP 41,49.4154747401,6.2351808823,Base Code Postaux,commune
071.00060,CILAM,2019,Eau (indirect),Demande biologique en oxygène (DBO5),79016,kg/an,31086403800032,97410,Saint-Pierre,REUNION,REUNION,7641970,341764,1051A,Fabrication de lait liquide et de produits frais,NA,NA,ZONE INDUSTRIELLE N 2,97410,ZI n°2,-21.318249,55.474765,API BAN,0.13
100.01770,STORENGY,2019,Air,Composés organiques volatils non méthaniques (COVNM),78996.9,kg/an,48765063200143,41700,CHEMERY,LOIR-ET-CHER,CENTRE,1.4822,47.39,5210B,Entreposage et stockage non frigorifique,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW,CIDEX 314,41700,1000 rue du Petit Etang,47.390583,1.482578,API BAN,0.94
529.03464,SAUPIQUET,2019,Eau (indirect),Demande biologique en oxygène (DBO5),78857,kg/an,85580248400136,29000,QUIMPER,FINISTERE,BRETAGNE,-4.11868,48011,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques",8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour,ALL DE KERGOLVEZ,29000,Allée de Kergolvez,48.012164,-4.118702,API BAN,0.96
561.00002,ELIVIA ALENCON - SELVI,2019,Eau (indirect),Demande biologique en oxygène (DBO5),78609.3,kg/an,34447746800021,61003,ALENCON,ORNE,NORMANDIE,433976,2385752,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour,BD PASTEUR,44150,23 RUE NICOLAS APPERT  BP 107,48.4177117997,0.0580112631913,Base Code Postaux,code postal approché
733.00305,Société d'assainissement de Bordeaux Métropole,2019,Eau (direct),Demande biologique en oxygène (DBO5),78289,kg/an,81748866100031,33440,AMBARES-ET-LAGRAVE,GIRONDE,NOUVELLE-AQUITAINE,377119,1995512,3700Z,Collecte et traitement des eaux usées,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants,88 CRS LOUIS FARGUE,33300,rue Pierre Monimeau,44.928328,-0.50097,API BAN,0.96
052.07267,MANUCO,2019,Eau (direct),Azote total,78005,kg/an,45057546900025,24108,BERGERAC,DORDOGNE,NOUVELLE-AQUITAINE,0.509512,44.845197,2059Z,Fabrication d'autres produits chimiques n.c.a.,4.(a).(iv),"hydrocarbures azotés, notamment amines, amides, composés nitreux, nitrés ou nitratés, nitriles, cyanates, isocyanates",BD CHARLES GARRAUD,24100,Bd Charles GARAUD  BP 108,44.844527,0.505487,API BAN,0.5
070.00481,HSWT,2019,Air,Composés organiques volatils non méthaniques (COVNM),77995,kg/an,84483707000029,59820,GRAVELINES,NORD,HAUTS-DE-FRANCE,2.162451,50.987142,2110Z,Fabrication de produits pharmaceutiques de base,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour,7516 RTE DE LA GRANDE HERNESSE,59820,Port 7516  7516 Route de la Grande Hernesse,50.98826,2.160332,API BAN,0.62
572.01666,MARIE,2019,Eau (indirect),Demande biologique en oxygène (DBO5),77423,kg/an,32728036800140,72301,SABLE-SUR-SARTHE,SARTHE,PAYS-DE-LA-LOIRE,402500,2317600,1085Z,Fabrication de plats préparés,NA,NA,ZI DE L'AUBREE,72300,CS20325  ZI DE L AUBREE,47.827254,-0.302184,API BAN,0.32
710.03001,Véolia Eau- Compagnie Générale des eaux,2019,Eau (direct),Azote total,77359.1,kg/an,57202552600672,10600,BARBEREY-SAINT-SULPICE,AUBE,GRAND-EST,4.043588,44.334712,3700Z,Collecte et traitement des eaux usées,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants,7 RUE DE LA MALADIERE,10300,4 rue de la Noue Robert,48.333224,4.044872,API BAN,0.95
064.00651,ARKEMA FRANCE,2019,Eau (indirect),Demande biologique en oxygène (DBO5),77339,kg/an,NA,13013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3492780005,5.43372238738,Base Code Postaux,code postal corrigé
052.05695,BERNIER FRERES,2019,Air,Composés organiques volatils non méthaniques (COVNM),77060,kg/an,48327370200017,24160,SAINT-JORY-LAS-BLOUX,DORDOGNE,NOUVELLE-AQUITAINE,492600,2041100,3299Z,Autres activités manufacturières n.c.a.,NA,NA,LD LES MAISONS,24160,Les Maisons,45.336299,0.957404,API BAN,0.94
066.01003,Société de Gestion de Dépôt d'Hydrocarbures,2019,Air,Composés organiques volatils non méthaniques (COVNM),76647.7,kg/an,54203111700014,34110,FRONTIGNAN,HERAULT,OCCITANIE,714933.31,1826559.26,4671Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,NA,NA,NA,NA,Avenue de la Méditerranée,43.422187,3.73775,API BAN,0.74
